,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV238,k__norank_Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,s__norank_Desulfomicrobium
ASV237,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV236,k__norank_Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_sp._JXZ-2
ASV235,k__norank_Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_SBR1031,g__norank_SBR1031,s__norank_SBR1031
ASV234,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_cloacae
ASV233,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,s__norank_Fluviicola
ASV232,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__actinobacterium_BAL412
ASV231,k__norank_Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__norank_Desulfovibrio
ASV230,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__norank_Paludibacteraceae,s__norank_Paludibacteraceae
ASV23,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV229,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_sp._Fm48
ASV228,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Thiothrix,s__norank_Thiothrix
ASV227,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,s__norank_Fluviicola
ASV226,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__unidentified
ASV225,k__norank_Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__norank_Holophagaceae,s__norank_Holophagaceae
ASV224,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Rhodanobacter,s__norank_Rhodanobacter
ASV223,k__norank_Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__norank_Holophagaceae,s__norank_Holophagaceae
ASV222,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XII,g__Fusibacter,s__norank_Fusibacter
ASV221,k__norank_Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Acidaminococcaceae,g__norank_Acidaminococcaceae,s__norank_Acidaminococcaceae
ASV220,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermatophilaceae,g__Kineosphaera,s__norank_Kineosphaera
ASV22,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__norank_Rhodocyclaceae,s__norank_Rhodocyclaceae
ASV219,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28_wastewater-sludge_group,s__norank_Blvii28_wastewater-sludge_group
ASV218,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Zoogloea,s__Zoogloea_sp._B0.10-45
ASV217,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Rudaea,s__Rudaea_cellulosilytica_DSM_22992
ASV216,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__norank_Pedobacter
ASV215,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__OPB56,f__norank_OPB56,g__norank_OPB56,s__norank_OPB56
ASV214,k__norank_Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_sp._JXZ-2
ASV213,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__Roseomonas_sp._W32
ASV212,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavihumibacter,s__Flavihumibacter_solisilvae
ASV211,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__KD1-131,g__norank_KD1-131,s__norank_KD1-131
ASV210,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sp._CSF321-10
ASV21,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Simplicispira,s__Simplicispira_limi
ASV209,k__norank_Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,s__norank_Desulfomicrobium
ASV208,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Leptothrix,s__metagenome
ASV207,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_sp._PY1
ASV206,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__metagenome
ASV205,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV204,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Candidatus_Accumulibacter,s__beta_proteobacterium_pACH94
ASV203,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV202,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__Ignavibacteriales,f__Ignavibacteriaceae,g__Ignavibacterium,s__norank_Ignavibacterium
ASV201,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__OPB56,f__Candidatus_Kapabacteria_sp._59-99,g__Candidatus_Kapabacteria_sp._59-99,s__Candidatus_Kapabacteria_sp._59-99
ASV200,k__norank_Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillales_Family_XII,g__Exiguobacterium,s__Exiguobacterium_sp._DG1
ASV20,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia,s__norank_Pseudonocardia
ASV2,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV199,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminiclostridium_1,s__norank_Ruminiclostridium_1
ASV198,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Leptothrix,s__metagenome
ASV197,k__norank_Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank_RBG-13-54-9,g__norank_RBG-13-54-9,s__norank_RBG-13-54-9
ASV196,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__unidentified
ASV195,k__norank_Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__norank_Gemmatimonas
ASV194,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__AKYH767,g__norank_AKYH767,s__norank_AKYH767
ASV193,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__norank_Bosea
ASV192,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,s__norank_Paludibacter
ASV191,k__norank_Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__norank_Deinococcus
ASV190,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__norank_Prolixibacteraceae,s__norank_Prolixibacteraceae
ASV19,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV189,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Zoogloea,s__norank_Zoogloea
ASV188,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Zoogloea,s__norank_Zoogloea
ASV187,k__norank_Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__norank_Holophagaceae,s__norank_Holophagaceae
ASV186,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__WCHB1-32,s__norank_WCHB1-32
ASV185,k__norank_Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__OLB17,s__norank_OLB17
ASV184,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niabella,s__norank_Niabella
ASV183,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__norank_Rhodospirillales,g__norank_Rhodospirillales,s__norank_Rhodospirillales
ASV182,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__metagenome,s__metagenome
ASV181,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_sp._N007N
ASV180,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae_R-7_group,s__norank_Christensenellaceae_R-7_group
ASV18,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__norank_Ottowia
ASV179,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__norank_Pedobacter
ASV178,k__norank_Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae,g__Bryobacter,s__norank_Bryobacter
ASV177,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__Bosea_sp._A17
ASV176,k__norank_Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__wastewater_metagenome
ASV175,k__norank_Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__norank_Caldilineaceae,s__norank_Caldilineaceae
ASV174,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__metagenome
ASV173,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV172,k__norank_Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__norank_Deinococcus
ASV171,k__norank_Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__wastewater_metagenome
ASV170,k__norank_Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__norank_Deinococcus
ASV17,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__norank_Flavobacterium
ASV169,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__metagenome
ASV168,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__metagenome,s__metagenome
ASV167,k__norank_Bacteria,p__Patescibacteria,c__Parcubacteria,o__norank_Parcubacteria,f__norank_Parcubacteria,g__norank_Parcubacteria,s__norank_Parcubacteria
ASV166,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__metagenome
ASV165,k__norank_Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,s__norank_Geothrix
ASV164,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__norank_Flavobacterium
ASV163,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__norank_Bosea
ASV162,k__norank_Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank_RBG-13-54-9,g__norank_RBG-13-54-9,s__norank_RBG-13-54-9
ASV161,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Lentimicrobiaceae,g__norank_Lentimicrobiaceae,s__norank_Lentimicrobiaceae
ASV160,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Shinella,s__Shinella_kummerowiae
ASV16,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Dechloromonas,s__norank_Dechloromonas
ASV159,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__OPB56,f__norank_OPB56,g__norank_OPB56,s__norank_OPB56
ASV158,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,s__norank_Pseudoxanthomonas
ASV157,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_sp._PY1
ASV156,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV155,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__WCHB1-32,s__norank_WCHB1-32
ASV154,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_sp._A1-ST2
ASV153,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Lelliottia,s__Enterobacter_sp._VTs-33
ASV152,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_sp._N007N
ASV151,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__Ignavibacteriales,f__PHOS-HE36,g__norank_PHOS-HE36,s__norank_PHOS-HE36
ASV150,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__norank_Flavobacterium
ASV15,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__norank_Flavobacteriaceae,s__norank_Flavobacteriaceae
ASV149,k__norank_Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__wastewater_metagenome,g__wastewater_metagenome,s__wastewater_metagenome
ASV148,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__norank_Saccharimonadaceae,s__norank_Saccharimonadaceae
ASV147,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__Ignavibacteriales,f__PHOS-HE36,g__norank_PHOS-HE36,s__norank_PHOS-HE36
ASV146,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__norank_Rhodospirillales,g__norank_Rhodospirillales,s__norank_Rhodospirillales
ASV145,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Hydrogenophaga,s__Hydrogenophaga_sp._7B-224
ASV144,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Zoogloea,s__norank_Zoogloea
ASV143,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Simplicispira,s__Simplicispira_limi
ASV142,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_sp._Fm48
ASV141,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,s__Rhodobacter_sp._XJ-1
ASV140,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Shinella,s__Shinella_kummerowiae
ASV14,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudorhodobacter,s__Pseudorhodobacter_sp._HWR-46
ASV139,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Cellulophaga,s__norank_Cellulophaga
ASV138,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__norank_Propionibacteriaceae,s__norank_Propionibacteriaceae
ASV137,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_yonginense
ASV136,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propioniciclava,s__metagenome
ASV135,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Mariniflexile,s__Mariniflexile_sp._KMM_6695
ASV134,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Zoogloea,s__norank_Zoogloea
ASV133,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,s__Rhodobacter_sp._XJ-1
ASV132,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__norank_Tetrasphaera
ASV131,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__norank_Chitinophagaceae,s__norank_Chitinophagaceae
ASV130,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_sp._A1-ST2
ASV13,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Simplicispira,s__Simplicispira_limi
ASV129,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__norank_Rhodospirillales,g__norank_Rhodospirillales,s__norank_Rhodospirillales
ASV128,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Quadrisphaera,s__metagenome
ASV127,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermatophilaceae,g__Kineosphaera,s__norank_Kineosphaera
ASV126,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Rudaea,s__Rudaea_cellulosilytica_DSM_22992
ASV125,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Competibacterales,f__Competibacteraceae,g__Candidatus_Competibacter,s__norank_Candidatus_Competibacter
ASV124,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_sp._PY1
ASV123,k__norank_Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__norank_Spirochaetaceae,s__norank_Spirochaetaceae
ASV122,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae_R-7_group,s__norank_Christensenellaceae_R-7_group
ASV121,k__norank_Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__wastewater_metagenome
ASV120,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__metagenome,s__metagenome
ASV12,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_yonginense
ASV119,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionicimonas,s__metagenome
ASV118,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__metagenome
ASV117,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,s__norank_Pseudoxanthomonas
ASV116,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,s__norank_Rhodobacter
ASV115,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_sp._A1-ST2
ASV114,k__norank_Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__wastewater_metagenome,g__wastewater_metagenome,s__wastewater_metagenome
ASV113,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__norank_Flavobacterium
ASV112,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__metagenome
ASV111,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavihumibacter,s__Flavihumibacter_solisilvae
ASV110,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__metagenome
ASV11,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV109,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Dechloromonas,s__norank_Dechloromonas
ASV108,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__norank_Prolixibacteraceae,s__norank_Prolixibacteraceae
ASV107,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__unidentified
ASV106,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__norank_Terrimonas
ASV105,k__norank_Bacteria,p__Patescibacteria,c__Parcubacteria,o__norank_Parcubacteria,f__norank_Parcubacteria,g__norank_Parcubacteria,s__norank_Parcubacteria
ASV104,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV103,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__norank_Flavobacterium
ASV102,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Quadrisphaera,s__metagenome
ASV101,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__WCHB1-32,s__norank_WCHB1-32
ASV100,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__Shewanella_sp._NF20111223D
ASV10,k__norank_Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_hopiensis
ASV1,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
